document_id,category,source_relative_path,source_sha256,source_bytes,page_count,pdf_title,pdf_author,pdf_creator,pdf_creation_date,ocr_pdf_status,ocr_pdf_file,duplicate_source_file
fbimichigan_witness_interview_memo_gift_cards_suppress_trump_release_mar_fb5575e4f90a,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan Witness Interview Memo Gift Cards Suppress Trump RELEASE MARKED.pdf,fb5575e4f90ac978bb410426fd20ef84fd365fc70aed337557bcfc5993210a24,1775758,3,,,,,skipped: ocrmypdf_not_installed,,False
fbimichigan_witness_interview_memo_other_states_release_marked_ddf4d7c8b776,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan Witness Interview Memo Other States RELEASE MARKED.pdf,ddf4d7c8b77664363b2439432c5cb5c9c7518c355c5acd9916c7a36bfb6982d1,842142,1,,,,,skipped: ocrmypdf_not_installed,,False
fbimichigan_witness_interview_memo_paid_by_registration_others_falsified_655091bd2462,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan Witness Interview Memo Paid By Registration Others Falsified RELEASE MARKED.pdf,655091bd2462db82495e70371c8a82a11d16f3383e2885c5e3eafca0e8fca859,1094976,2,,,,,skipped: ocrmypdf_not_installed,,False
fbimichigan_witness_interview_memo_pot_for_registrations_release_marked_7957e5b5bb14,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan Witness Interview Memo Pot For Registrations RELEASE MARKED.pdf,7957e5b5bb14a31ba27d82ff9edc251a35fb5e66697512be4a50ca901bec3c8b,315658,2,,,,,skipped: ocrmypdf_not_installed,,False
fbimichigan_witness_interview_memo_probably_forged_memos_release_marked_53ae802c4699,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan Witness Interview Memo Probably Forged Memos RELEASE MARKED.pdf,53ae802c46991ee0a0a854e1554e53be233dd0ff7ea3cc23c185fc81c39592cb,824576,1,,,,,skipped: ocrmypdf_not_installed,,False
fbimichigan_witness_interview_widespread_fake_registrations_release_mark_16798ea6bfab,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan Witness Interview Widespread Fake Registrations RELEASE MARKED.pdf,16798ea6bfabe9c552b30cf5bd4726050ef03aafec079ab622a3b10d2ddf6c4c,1716083,3,,,,,skipped: ocrmypdf_not_installed,,False
fbimichigan_worker_interview_sit_in_car_fake_registrations_release_marke_8ddf39c5c185,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan Worker Interview Sit In Car Fake Registrations RELEASE MARKED.pdf,8ddf39c5c1853fa1897c35d05ba43a2c314a497874103befadd22713c81c41f6,970240,2,,,,,skipped: ocrmypdf_not_installed,,False
gbi_strategies_release_marked_dde90b90ae98,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\GBI Strategies -RELEASE MARKED.pdf,dde90b90ae9822256d55df5e7ad7cc2a12a26aa1aeb6d2623630d3f29614b9ca,1250213,2,,,,,skipped: ocrmypdf_not_installed,,False
pin_edmi_declination_release_marked_c1dce1a99c75,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\PIN EDMI declination - RELEASE MARKED.pdf,c1dce1a99c75d4842c66947d53b7a6c13f691d1933c12fe2519d77e7db14ffc2,1504686,4,,,,,skipped: ocrmypdf_not_installed,,False
pin_gbi_declination_release_marked_093a4153b77f,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\PIN GBI Declination - RELEASE MARKED.pdf,093a4153b77feddf475a6ad9aaf3bd8e2e2f4d8c00cd516b319d0c3f18516302,620156,1,,,,,skipped: ocrmypdf_not_installed,,False
voter_fraud_spreadsheet_release_marked_8e4eaa72274e,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\Voter Fraud Spreadsheet - RELEASE MARKED.pdf,8e4eaa72274e91134cb7c7ff7f0b8f3fea168714675e0e43677b49788ffc71f5,633271,1,,,,,skipped: ocrmypdf_not_installed,,False
alien_voter_registration_summary_pdf_redacted_c5aa4d27eb22,noncitizens_on_state_rolls,4. Noncitizens on State Voter Rolls\Alien Voter Registration Summary.pdf_Redacted.pdf,c5aa4d27eb225c35812e3e9d00093c4780383f6b6feeb88eb3fe603ecb7593f3,138867,1,,,,,not_needed,,False
voter_registration_database_threats_final_ef8d1d040612,noncitizens_on_state_rolls,4. Noncitizens on State Voter Rolls\Voter Registration Database Threats - FINAL.pdf,ef8d1d0406127f1618210004db8602d59e2c4afe534de46784932f904ef110c3,496082,11,,,Microsoft® Word for Microsoft 365,D:20260624134152-04'00',not_needed,,False
cia_note_venezuela_machines_intel_memo_29june2026_declass_redacted_4a7be62c0901,voting_and_counting_systems,1. Vulnerabilities in Voting and Counting Systems\CIA Note - Venezuela Machines Intel Memo_29JUNE2026_DECLASS_REDACTED.pdf,4a7be62c0901e6de3b0cfee37046ea5ece1a79a0e647d6f4cdae659705148594,611116,6,,,,D:20260714140059-04'00',skipped: ocrmypdf_not_installed,,False
cia_wire_memo_summer_2020_declass_redacted_1be94e7fa86a,voting_and_counting_systems,1. Vulnerabilities in Voting and Counting Systems\CIA Wire Memo Summer 2020 DECLASS REDACTED.pdf,1be94e7fa86a729a2c16266fd32ed1947793903b5fa50577c9648c697dc0c48b,522629,2,,,,D:20260714135348-04'00',skipped: ocrmypdf_not_installed,,True
cisa_election_report_final_3c6db9616032,voting_and_counting_systems,1. Vulnerabilities in Voting and Counting Systems\CISA Election Report - FINAL.pdf,3c6db961603260a77dce4548b7e5a7f5a6fd2b964345ab4a46eb1d3c61485c22,419619,6,,,Acrobat PDFMaker 26 for Word,D:20260713181412-04'00',not_needed,,False
email_everyone_s_favorite_topic_23dec2021_declass_redacted_efa073c1baba,voting_and_counting_systems,1. Vulnerabilities in Voting and Counting Systems\EMAIL_Everyone's favorite topic_23DEC2021_DECLASS_REDACTED.pdf,efa073c1baba2f629a41e0c29841a15acf00dc1b7c4ea62fa9e0b208a69619fe,196369,1,,,,,skipped: ocrmypdf_not_installed,,True
email_ica_commentsreminorityview_30dec2020_declass_redacted_d393d9815182,voting_and_counting_systems,1. Vulnerabilities in Voting and Counting Systems\EMAIL_ICA.CommentsReMinorityView_30DEC2020_DECLASS REDACTED.pdf,d393d981518232384b3ca27d077ee5337876d873bd0399a07f98f8e1f5cc432b,630820,2,,,,,skipped: ocrmypdf_not_installed,,False
nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8,voting_and_counting_systems,1. Vulnerabilities in Voting and Counting Systems\NICA_ Foreign Threats to 2020 US election_19AUG2020 - DECLASS_REDACTED.pdf,6e22be494ee83716d2251e71c253ea6d78048694886b7006ce449a336aa9882b,1857619,8,,,,,not_needed,,True
nicm_chinastepstoinfluenceelection_16oct2020_declass_redacted_a16aec843fdd,voting_and_counting_systems,1. Vulnerabilities in Voting and Counting Systems\NICM_ChinaStepsToInfluenceElection_16OCT2020_DECLASS_REDACTED.pdf,a16aec843fddd6c525251ab4e4b2b2be1e5cee9aeca4b7bae6a59c9bf3bb2a6d,5108237,7,,,,,skipped: ocrmypdf_not_installed,,False
nicm_vulnerabilitiesinus2020electioninfrastructure_15jan2020_declass_red_9105174603df,voting_and_counting_systems,1. Vulnerabilities in Voting and Counting Systems\NICM_VulnerabilitiesInUS2020ElectionInfrastructure_15JAN2020_DECLASS_REDACTEDed.pdf,9105174603df72f1c9142b8e0bb56e1e036dc6d4f3dbaf559aada1e2b7e22d4c,1396984,5,,,,,skipped: ocrmypdf_not_installed,,False
